Year	Age	Australia	Austria	Belgium	Bulgaria	Canada	Croatia	CzechRepublic	Denmark	EnglandandWales	Finland	France	Germany	Greece	Hungary	Italy	Lithuania	Netherlands	NewZealand	Norway	Poland	Portugal	Scotland	Slovakia	Slovenia	SouthKorea	Spain	Sweden	Switzerland	Taiwan	USA
1	1	581.9817252	0.002111801	0.002688953	0.005544685	0.002274885	0.003706772	0.003136726	0.002686435	0.002584018	0.002573607	0.002670131	0.002698912	0.0027747	0.005614342	0.002137087	0.00527368	0.00198083	558.5475683	0.001889748	0.003809251	0.00287554	0.00419149	0.004163155	0.0026687	0.001864648	0.002078959	0.001677245	0.001586904	0.002804157	0.003518998
1	2	92.58462023	0.016665705	0.017761788	0.032209165	0.016736084	0.026862778	0.02363493	0.017704123	0.022024648	0.017983409	0.013662689	0.018358087	0.017985014	0.03165555	0.016461455	0.026861947	0.01612099	70.77662518	0.016261389	0.02243264	0.019010914	0.028304158	0.027675008	0.01783935	0.013899262	0.015767764	0.015122037	0.013121851	0.017557834	0.020285492
1	3	29.30273921	0.045612945	0.052348135	0.089960703	0.04687888	0.083076296	0.069300014	0.049968036	0.070241057	0.0456908	0.043736226	0.047777471	0.061184688	0.081542426	0.052143204	0.06517189	0.05106053	25.14779865	0.051237851	0.058506936	0.06736236	0.085481328	0.078401064	0.050135575	0.043586054	0.052667797	0.047621921	0.036997151	0.051528914	0.055697841
1	4	8.027811514	0.18847236	0.187190464	0.26167406	0.180858816	0.241453406	0.206805832	0.174427633	0.279909684	0.176352471	0.157866155	0.176425208	0.196953368	0.213241305	0.194443328	0.180991616	0.225245457	7.774876164	0.204686543	0.158601013	0.224665208	0.263238282	0.191791152	0.160609283	0.141833319	0.192118966	0.18357974	0.19816976	0.151054138	0.191408012
2	1	601.2439054	0.002210233	0.002568021	0.005500679	0.002196334	0.003744026	0.003233126	0.002359515	0.002387074	0.00248383	0.002518297	0.00260326	0.002461427	0.005073302	0.002193538	0.005919436	0.001957361	499.0833598	0.001767829	0.003927925	0.002896321	0.003309071	0.004299206	0.0026687	0.001843713	0.002028293	0.001685673	0.001614908	0.002909013	0.003484628
2	2	88.14563159	0.018764349	0.018815453	0.028815479	0.016750659	0.0271081	0.022790826	0.019351018	0.019441112	0.017403299	0.013501837	0.018302231	0.017748991	0.030691972	0.016086606	0.028740405	0.014728184	67.7112022	0.015615241	0.021593593	0.019622029	0.024110949	0.027450007	0.01862638	0.013752109	0.01636163	0.013786337	0.013644113	0.01726682	0.019982497
2	3	29.59534859	0.045418847	0.055470146	0.09232809	0.047154528	0.083249733	0.064844336	0.04864438	0.065345232	0.050532209	0.042112476	0.049357538	0.060226806	0.079097537	0.051175778	0.070981787	0.052327404	24.48895538	0.047668001	0.060320703	0.066255099	0.071746143	0.077742232	0.060004783	0.043610269	0.053362165	0.047710934	0.040567051	0.054756427	0.054933774
2	4	8.005917483	0.194467028	0.178721904	0.238368714	0.178027367	0.252366554	0.211576116	0.174427633	0.257098579	0.164974892	0.156029706	0.179588066	0.213299376	0.216091616	0.188451033	0.192105136	0.222866627	7.502819133	0.190710149	0.156172672	0.244888916	0.250255442	0.207418579	0.18388599	0.137284139	0.202842805	0.182164478	0.194062615	0.14320509	0.190192269
3	1	611.1439579	0.002084956	0.00262493	0.005313656	0.002180845	0.003930296	0.003121895	0.00241637	0.002381487	0.002214499	0.002606868	0.002613316	0.002722488	0.005400083	0.002146495	0.005838717	0.002131035	578.957555	0.002026907	0.003676958	0.003203822	0.003500261	0.004367231	0.002518351	0.001926987	0.002038427	0.001769957	0.00152156	0.002834116	0.003350904
3	2	89.16347953	0.017344678	0.016156203	0.032024055	0.016660378	0.024041573	0.024745594	0.016880675	0.018629143	0.014502749	0.01340834	0.018488419	0.01892911	0.031997364	0.015472492	0.027989022	0.016091356	93.32452542	0.013138341	0.021799397	0.018466319	0.023920349	0.025537507	0.022299187	0.013035439	0.015876841	0.013881744	0.012730154	0.017784178	0.019069726
