Year	Age	Canada	Denmark	EnglandandWales	Finland	Netherlands	Norway	Scotland	SouthKorea	Sweden	Taiwan	USA
1	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
1	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
1	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
1	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
2	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
2	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
2	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
2	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
3	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
3	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
3	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
3	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
4	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
4	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
4	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
4	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
5	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
5	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
5	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
5	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
6	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
6	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
6	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
6	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
7	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
7	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
7	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
7	4	14127.04148	2270.28249	26390.65538	2636.764874	6725.995821	2218.025641	2233.71766	9891.892885	4946.079553	6242.794872	111865.7458
8	1	465657.7524	70353.45245	715939.3399	66832.27611	213041.9838	65617.21018	67994.92086	716489.1188	118646.9419	333790.179	4077506.653
8	2	62726.82133	12144.0641	108378.5755	12066.67746	33744.82576	9285.799715	10493.15795	74752.16994	20962.78428	30926.36551	528062.13
8	3	32961.50975	6043.863685	64136.27833	6609.645756	18154.92325	4762.104464	6188.485962	41297.61314	11234.3221	17970.49311	265683.5486
