Year	Age	Canada	Denmark	EnglandandWales	Finland	Netherlands	Norway	Scotland	SouthKorea	Sweden	Taiwan	USA
1	1	0.002274885	0.002686435	0.002584018	0.002573607	0.00198083	0.001889748	0.00419149	0.001864648	0.001677245	0.002804157	0.003518998
1	2	0.016736084	0.017704123	0.022024648	0.017983409	0.01612099	0.016261389	0.028304158	0.013899262	0.015122037	0.017557834	0.020285492
1	3	0.04687888	0.049968036	0.070241057	0.0456908	0.05106053	0.051237851	0.085481328	0.043586054	0.047621921	0.051528914	0.055697841
1	4	0.180858816	0.174427633	0.279909684	0.176352471	0.225245457	0.204686543	0.263238282	0.141833319	0.18357974	0.151054138	0.191408012
2	1	0.002196334	0.002359515	0.002387074	0.00248383	0.001957361	0.001767829	0.003309071	0.001843713	0.001685673	0.002909013	0.003484628
2	2	0.016750659	0.019351018	0.019441112	0.017403299	0.014728184	0.015615241	0.024110949	0.013752109	0.013786337	0.01726682	0.019982497
2	3	0.047154528	0.04864438	0.065345232	0.050532209	0.052327404	0.047668001	0.071746143	0.043610269	0.047710934	0.054756427	0.054933774
2	4	0.178027367	0.174427633	0.257098579	0.164974892	0.222866627	0.190710149	0.250255442	0.137284139	0.182164478	0.14320509	0.190192269
3	1	0.002180845	0.00241637	0.002381487	0.002214499	0.002131035	0.002026907	0.003500261	0.001926987	0.001769957	0.002834116	0.003350904
3	2	0.016660378	0.016880675	0.018629143	0.014502749	0.016091356	0.013138341	0.023920349	0.013035439	0.013881744	0.017784178	0.019069726
3	3	0.046871259	0.04748618	0.061805894	0.039941626	0.046654012	0.052287807	0.064636165	0.043964164	0.049046128	0.04919175	0.053462098
3	4	0.16953302	0.176630002	0.233605415	0.170284429	0.221677212	0.189808446	0.218469867	0.140547127	0.178929593	0.144967121	0.180376932
4	1	0.002167287	0.002302659	0.002370313	0.002259387	0.001868176	0.001828789	0.00311788	0.00193862	0.001677245	0.002687317	0.00327653
4	2	0.015644168	0.018609915	0.017245106	0.015745842	0.014965257	0.012169119	0.021061343	0.013778864	0.015455962	0.017493165	0.019149262
4	3	0.043950992	0.051291693	0.057455782	0.044480447	0.04957333	0.045568089	0.062212309	0.04329548	0.047443895	0.050137745	0.051768354
4	4	0.155729705	0.168701473	0.21079431	0.16042386	0.223015304	0.205588245	0.206382395	0.135262282	0.184388462	0.144006013	0.174655788
5	1	0.002133143	0.002444798	0.002187336	0.002184573	0.002013688	0.001874508	0.002911982	0.001902332	0.001812099	0.002804157	0.003393957
5	2	0.016427231	0.019927431	0.016368549	0.014999987	0.015202331	0.01389218	0.023634448	0.013685221	0.013261597	0.016717128	0.019082982
5	3	0.046101408	0.049471665	0.053401914	0.044026565	0.049738574	0.051447842	0.067544792	0.043029121	0.044239429	0.049303043	0.051629091
5	4	0.152898256	0.177510949	0.196205813	0.166491902	0.209485709	0.179438863	0.212649973	0.14395627	0.176099068	0.147049522	0.171464463
6	1	0.002193165	0.002402156	0.002225049	0.002558644	0.001910422	0.001676389	0.003014931	0.001923267	0.001660388	0.002840108	0.003292326
6	2	0.015561489	0.018280536	0.016589995	0.016325952	0.016535868	0.014861402	0.024015649	0.013230385	0.015551369	0.018624885	0.019592392
6	3	0.043653256	0.051622607	0.052980935	0.03933645	0.048636945	0.047038027	0.067544792	0.044651491	0.047354882	0.052697497	0.051075801
