Year	Age	Austria	Belgium	Bulgaria	Croatia	CzechRepublic	France	Germany	Greece	Hungary	Italy	Lithuania	Poland	Portugal	Slovakia	Slovenia	Spain	Switzerland
1	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
1	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
1	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
1	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
2	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
2	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
2	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
2	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
3	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
3	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
3	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
3	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
4	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
4	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
4	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
4	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
5	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
5	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
5	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
5	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
6	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
6	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
6	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
6	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
7	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
7	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
7	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
7	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
8	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
8	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
8	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
8	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
9	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
9	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
9	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
9	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
10	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
10	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
10	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
10	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
11	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
11	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
11	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
11	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
12	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
12	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
12	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
12	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
13	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
13	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
13	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
13	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
14	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
14	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
14	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
14	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
15	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
15	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
15	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
15	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
16	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
16	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
16	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
16	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
17	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
17	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
17	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
17	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
18	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
18	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
18	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
18	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
19	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
19	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
19	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
19	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
20	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
20	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
20	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
20	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
21	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
21	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
21	3	10304.0924	13773.17458	9292.946535	5765.784263	10548.33848	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	38593.71474	14765.69281	4553.509615	2533.13141	57606.35866	9243.955045
21	4	4170.372783	5668.023782	2445.790769	1466.121378	3563.729287	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	13177.72167	5682.272739	1407.781314	859.2280449	25270.80024	3895.649862
22	1	111752.9373	140575.173	90897.86092	53685.5245	134854.0017	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	514011.8244	129844.8992	73501.94337	26604.71322	592123.3839	107126.861
22	2	16200.93479	19930.42606	16206.56707	8152.544872	22509.05743	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	63166.88462	20848.76759	8888.88648	3811.798077	82510.1155	15317.96127
