Year	Age	Austria	Belgium	Bulgaria	Croatia	CzechRepublic	France	Germany	Greece	Hungary	Italy	Lithuania	Poland	Portugal	Slovakia	Slovenia	Spain	Switzerland
1	1	0.002111801	0.002688953	0.005544685	0.003706772	0.003136726	0.002670131	0.002698912	0.0027747	0.005614342	0.002137087	0.00527368	0.003809251	0.00287554	0.004163155	0.0026687	0.002078959	0.001586904
1	2	0.016665705	0.017761788	0.032209165	0.026862778	0.02363493	0.013662689	0.018358087	0.017985014	0.03165555	0.016461455	0.026861947	0.02243264	0.019010914	0.027675008	0.01783935	0.015767764	0.013121851
1	3	0.045612945	0.052348135	0.089960703	0.083076296	0.069300014	0.043736226	0.047777471	0.061184688	0.081542426	0.052143204	0.06517189	0.058506936	0.06736236	0.078401064	0.050135575	0.052667797	0.036997151
1	4	0.18847236	0.187190464	0.26167406	0.241453406	0.206805832	0.157866155	0.176425208	0.196953368	0.213241305	0.194443328	0.180991616	0.158601013	0.224665208	0.191791152	0.160609283	0.192118966	0.19816976
2	1	0.002210233	0.002568021	0.005500679	0.003744026	0.003233126	0.002518297	0.00260326	0.002461427	0.005073302	0.002193538	0.005919436	0.003927925	0.002896321	0.004299206	0.0026687	0.002028293	0.001614908
2	2	0.018764349	0.018815453	0.028815479	0.0271081	0.022790826	0.013501837	0.018302231	0.017748991	0.030691972	0.016086606	0.028740405	0.021593593	0.019622029	0.027450007	0.01862638	0.01636163	0.013644113
2	3	0.045418847	0.055470146	0.09232809	0.083249733	0.064844336	0.042112476	0.049357538	0.060226806	0.079097537	0.051175778	0.070981787	0.060320703	0.066255099	0.077742232	0.060004783	0.053362165	0.040567051
2	4	0.194467028	0.178721904	0.238368714	0.252366554	0.211576116	0.156029706	0.179588066	0.213299376	0.216091616	0.188451033	0.192105136	0.156172672	0.244888916	0.207418579	0.18388599	0.202842805	0.194062615
3	1	0.002084956	0.00262493	0.005313656	0.003930296	0.003121895	0.002606868	0.002613316	0.002722488	0.005400083	0.002146495	0.005838717	0.003676958	0.003203822	0.004367231	0.002518351	0.002038427	0.00152156
3	2	0.017344678	0.016156203	0.032024055	0.024041573	0.024745594	0.01340834	0.018488419	0.01892911	0.031997364	0.015472492	0.027989022	0.021799397	0.018466319	0.025537507	0.022299187	0.015876841	0.012730154
3	3	0.044157213	0.053146789	0.083504193	0.082555985	0.071480452	0.040824041	0.048418884	0.060586012	0.082334063	0.048697426	0.062393243	0.057418676	0.068266353	0.082793281	0.057636173	0.052181739	0.038836191
3	4	0.194946601	0.190013317	0.225285011	0.232586473	0.212698535	0.152065281	0.177647221	0.204325097	0.21746646	0.182831591	0.184166908	0.155565587	0.223854091	0.21310128	0.174575307	0.201893092	0.194062615
4	1	0.002272871	0.00270318	0.005511681	0.003762653	0.003299865	0.002596584	0.002761344	0.002491263	0.005117931	0.002057786	0.005596558	0.003883179	0.002772539	0.004340021	0.003044573	0.002144823	0.00171759
4	2	0.018208826	0.016908821	0.029864437	0.024654878	0.025234286	0.014521485	0.019624162	0.016663281	0.03169311	0.016110533	0.02986748	0.02404741	0.018706142	0.029587508	0.019151067	0.016349511	0.013905245
4	3	0.045807043	0.056050985	0.082643325	0.079954431	0.073566088	0.043732624	0.051101869	0.05513806	0.083873864	0.049980082	0.063656264	0.058196005	0.063931982	0.083012892	0.050925112	0.0547509	0.040891588
4	4	0.193028308	0.202186872	0.231417997	0.233950616	0.218871844	0.160279333	0.194204306	0.18541501	0.24134513	0.187465633	0.204806302	0.163381809	0.212942964	0.224466682	0.173411472	0.208818081	0.206897444
5	1	0.002371302	0.002617816	0.005214644	0.004358717	0.003396266	0.002704561	0.002782151	0.002543475	0.005470621	0.002192194	0.004681736	0.003846215	0.002664718	0.004367231	0.002931811	0.002063759	0.001493556
5	2	0.019381598	0.020270515	0.029494217	0.03164656	0.026078391	0.014698576	0.019369706	0.016568872	0.037524642	0.016046729	0.031933783	0.022860079	0.017411101	0.027675008	0.016527633	0.015985919	0.015341467
5	3	0.050756532	0.054889306	0.083611801	0.076312255	0.071006443	0.044914236	0.051868436	0.05489859	0.091029409	0.052512783	0.066434911	0.063119086	0.060478029	0.07730301	0.056451868	0.053587834	0.045543276
5	4	0.196864895	0.209596862	0.225693877	0.238043047	0.224483942	0.173179608	0.196600411	0.168107472	0.255274354	0.18951633	0.208775417	0.17226043	0.221390288	0.21310128	0.155953941	0.200231095	0.213828252
