Year	Age	Australia	NewZealand
1	1	303233.5531	58171.60175
1	2	38607.78663	7464.409776
1	3	20746.33936	3894.263013
1	4	8806.509231	1513.617853
2	1	303233.5531	58171.60175
2	2	38607.78663	7464.409776
2	3	20746.33936	3894.263013
2	4	8806.509231	1513.617853
3	1	303233.5531	58171.60175
3	2	38607.78663	7464.409776
3	3	20746.33936	3894.263013
3	4	8806.509231	1513.617853
4	1	303233.5531	58171.60175
4	2	38607.78663	7464.409776
4	3	20746.33936	3894.263013
4	4	8806.509231	1513.617853
5	1	303233.5531	58171.60175
5	2	38607.78663	7464.409776
5	3	20746.33936	3894.263013
5	4	8806.509231	1513.617853
6	1	303233.5531	58171.60175
6	2	38607.78663	7464.409776
6	3	20746.33936	3894.263013
6	4	8806.509231	1513.617853
7	1	303233.5531	58171.60175
7	2	38607.78663	7464.409776
7	3	20746.33936	3894.263013
7	4	8806.509231	1513.617853
8	1	303233.5531	58171.60175
8	2	38607.78663	7464.409776
8	3	20746.33936	3894.263013
8	4	8806.509231	1513.617853
9	1	303233.5531	58171.60175
9	2	38607.78663	7464.409776
9	3	20746.33936	3894.263013
9	4	8806.509231	1513.617853
10	1	303233.5531	58171.60175
10	2	38607.78663	7464.409776
10	3	20746.33936	3894.263013
10	4	8806.509231	1513.617853
11	1	303233.5531	58171.60175
11	2	38607.78663	7464.409776
11	3	20746.33936	3894.263013
11	4	8806.509231	1513.617853
12	1	303233.5531	58171.60175
12	2	38607.78663	7464.409776
12	3	20746.33936	3894.263013
12	4	8806.509231	1513.617853
13	1	303233.5531	58171.60175
13	2	38607.78663	7464.409776
13	3	20746.33936	3894.263013
13	4	8806.509231	1513.617853
14	1	303233.5531	58171.60175
14	2	38607.78663	7464.409776
14	3	20746.33936	3894.263013
14	4	8806.509231	1513.617853
15	1	303233.5531	58171.60175
15	2	38607.78663	7464.409776
15	3	20746.33936	3894.263013
15	4	8806.509231	1513.617853
16	1	303233.5531	58171.60175
16	2	38607.78663	7464.409776
16	3	20746.33936	3894.263013
16	4	8806.509231	1513.617853
17	1	303233.5531	58171.60175
17	2	38607.78663	7464.409776
17	3	20746.33936	3894.263013
17	4	8806.509231	1513.617853
18	1	303233.5531	58171.60175
18	2	38607.78663	7464.409776
18	3	20746.33936	3894.263013
18	4	8806.509231	1513.617853
19	1	303233.5531	58171.60175
19	2	38607.78663	7464.409776
19	3	20746.33936	3894.263013
19	4	8806.509231	1513.617853
20	1	303233.5531	58171.60175
20	2	38607.78663	7464.409776
20	3	20746.33936	3894.263013
20	4	8806.509231	1513.617853
21	1	303233.5531	58171.60175
21	2	38607.78663	7464.409776
21	3	20746.33936	3894.263013
21	4	8806.509231	1513.617853
22	1	303233.5531	58171.60175
22	2	38607.78663	7464.409776
22	3	20746.33936	3894.263013
22	4	8806.509231	1513.617853
23	1	303233.5531	58171.60175
23	2	38607.78663	7464.409776
23	3	20746.33936	3894.263013
23	4	8806.509231	1513.617853
24	1	303233.5531	58171.60175
24	2	38607.78663	7464.409776
24	3	20746.33936	3894.263013
24	4	8806.509231	1513.617853
25	1	303233.5531	58171.60175
25	2	38607.78663	7464.409776
25	3	20746.33936	3894.263013
25	4	8806.509231	1513.617853
26	1	303233.5531	58171.60175
26	2	38607.78663	7464.409776
26	3	20746.33936	3894.263013
26	4	8806.509231	1513.617853
27	1	303233.5531	58171.60175
27	2	38607.78663	7464.409776
27	3	20746.33936	3894.263013
27	4	8806.509231	1513.617853
28	1	303233.5531	58171.60175
28	2	38607.78663	7464.409776
28	3	20746.33936	3894.263013
28	4	8806.509231	1513.617853
29	1	303233.5531	58171.60175
29	2	38607.78663	7464.409776
29	3	20746.33936	3894.263013
29	4	8806.509231	1513.617853
30	1	303233.5531	58171.60175
30	2	38607.78663	7464.409776
30	3	20746.33936	3894.263013
30	4	8806.509231	1513.617853
31	1	303233.5531	58171.60175
31	2	38607.78663	7464.409776
31	3	20746.33936	3894.263013
31	4	8806.509231	1513.617853
32	1	303233.5531	58171.60175
32	2	38607.78663	7464.409776
32	3	20746.33936	3894.263013
32	4	8806.509231	1513.617853
33	1	303233.5531	58171.60175
33	2	38607.78663	7464.409776
33	3	20746.33936	3894.263013
33	4	8806.509231	1513.617853
34	1	303233.5531	58171.60175
34	2	38607.78663	7464.409776
34	3	20746.33936	3894.263013
34	4	8806.509231	1513.617853
35	1	303233.5531	58171.60175
35	2	38607.78663	7464.409776
35	3	20746.33936	3894.263013
35	4	8806.509231	1513.617853
36	1	303233.5531	58171.60175
36	2	38607.78663	7464.409776
36	3	20746.33936	3894.263013
36	4	8806.509231	1513.617853
37	1	303233.5531	58171.60175
37	2	38607.78663	7464.409776
37	3	20746.33936	3894.263013
37	4	8806.509231	1513.617853
38	1	303233.5531	58171.60175
38	2	38607.78663	7464.409776
38	3	20746.33936	3894.263013
38	4	8806.509231	1513.617853
39	1	303233.5531	58171.60175
39	2	38607.78663	7464.409776
39	3	20746.33936	3894.263013
39	4	8806.509231	1513.617853
40	1	303233.5531	58171.60175
40	2	38607.78663	7464.409776
40	3	20746.33936	3894.263013
40	4	8806.509231	1513.617853
41	1	303233.5531	58171.60175
41	2	38607.78663	7464.409776
41	3	20746.33936	3894.263013
41	4	8806.509231	1513.617853
42	1	303233.5531	58171.60175
42	2	38607.78663	7464.409776
42	3	20746.33936	3894.263013
42	4	8806.509231	1513.617853
43	1	303233.5531	58171.60175
43	2	38607.78663	7464.409776
43	3	20746.33936	3894.263013
43	4	8806.509231	1513.617853
44	1	303233.5531	58171.60175
44	2	38607.78663	7464.409776
44	3	20746.33936	3894.263013
44	4	8806.509231	1513.617853
45	1	303233.5531	58171.60175
45	2	38607.78663	7464.409776
45	3	20746.33936	3894.263013
45	4	8806.509231	1513.617853
46	1	303233.5531	58171.60175
46	2	38607.78663	7464.409776
46	3	20746.33936	3894.263013
46	4	8806.509231	1513.617853
47	1	303233.5531	58171.60175
47	2	38607.78663	7464.409776
47	3	20746.33936	3894.263013
47	4	8806.509231	1513.617853
48	1	303233.5531	58171.60175
48	2	38607.78663	7464.409776
48	3	20746.33936	3894.263013
48	4	8806.509231	1513.617853
49	1	303233.5531	58171.60175
49	2	38607.78663	7464.409776
49	3	20746.33936	3894.263013
49	4	8806.509231	1513.617853
50	1	303233.5531	58171.60175
50	2	38607.78663	7464.409776
50	3	20746.33936	3894.263013
50	4	8806.509231	1513.617853
51	1	303233.5531	58171.60175
51	2	38607.78663	7464.409776
51	3	20746.33936	3894.263013
51	4	8806.509231	1513.617853
52	1	303233.5531	58171.60175
52	2	38607.78663	7464.409776
52	3	20746.33936	3894.263013
52	4	8806.509231	1513.617853
53	1	306878.1673	59524.25123
53	2	40035.72199	7693.096987
53	3	21317.34981	4039.000353
53	4	9058.964295	1564.731795
54	1	306878.1673	59524.25123
54	2	40035.72199	7693.096987
54	3	21317.34981	4039.000353
54	4	9058.964295	1564.731795
55	1	306878.1673	59524.25123
55	2	40035.72199	7693.096987
55	3	21317.34981	4039.000353
55	4	9058.964295	1564.731795
56	1	306878.1673	59524.25123
56	2	40035.72199	7693.096987
56	3	21317.34981	4039.000353
56	4	9058.964295	1564.731795
57	1	306878.1673	59524.25123
57	2	40035.72199	7693.096987
57	3	21317.34981	4039.000353
57	4	9058.964295	1564.731795
58	1	306878.1673	59524.25123
58	2	40035.72199	7693.096987
58	3	21317.34981	4039.000353
58	4	9058.964295	1564.731795
59	1	306878.1673	59524.25123
59	2	40035.72199	7693.096987
59	3	21317.34981	4039.000353
59	4	9058.964295	1564.731795
60	1	306878.1673	59524.25123
60	2	40035.72199	7693.096987
60	3	21317.34981	4039.000353
60	4	9058.964295	1564.731795
61	1	306878.1673	59524.25123
61	2	40035.72199	7693.096987
61	3	21317.34981	4039.000353
61	4	9058.964295	1564.731795
62	1	306878.1673	59524.25123
62	2	40035.72199	7693.096987
62	3	21317.34981	4039.000353
62	4	9058.964295	1564.731795
63	1	306878.1673	59524.25123
63	2	40035.72199	7693.096987
63	3	21317.34981	4039.000353
63	4	9058.964295	1564.731795
64	1	306878.1673	59524.25123
64	2	40035.72199	7693.096987
64	3	21317.34981	4039.000353
64	4	9058.964295	1564.731795
65	1	306878.1673	59524.25123
65	2	40035.72199	7693.096987
65	3	21317.34981	4039.000353
65	4	9058.964295	1564.731795
66	1	306878.1673	59524.25123
66	2	40035.72199	7693.096987
66	3	21317.34981	4039.000353
66	4	9058.964295	1564.731795
67	1	306878.1673	59524.25123
67	2	40035.72199	7693.096987
67	3	21317.34981	4039.000353
67	4	9058.964295	1564.731795
68	1	306878.1673	59524.25123
68	2	40035.72199	7693.096987
68	3	21317.34981	4039.000353
68	4	9058.964295	1564.731795
69	1	306878.1673	59524.25123
69	2	40035.72199	7693.096987
69	3	21317.34981	4039.000353
69	4	9058.964295	1564.731795
70	1	306878.1673	59524.25123
70	2	40035.72199	7693.096987
70	3	21317.34981	4039.000353
70	4	9058.964295	1564.731795
71	1	306878.1673	59524.25123
71	2	40035.72199	7693.096987
71	3	21317.34981	4039.000353
71	4	9058.964295	1564.731795
72	1	306878.1673	59524.25123
72	2	40035.72199	7693.096987
72	3	21317.34981	4039.000353
72	4	9058.964295	1564.731795
73	1	306878.1673	59524.25123
73	2	40035.72199	7693.096987
73	3	21317.34981	4039.000353
73	4	9058.964295	1564.731795
74	1	306878.1673	59524.25123
74	2	40035.72199	7693.096987
74	3	21317.34981	4039.000353
74	4	9058.964295	1564.731795
75	1	306878.1673	59524.25123
75	2	40035.72199	7693.096987
75	3	21317.34981	4039.000353
75	4	9058.964295	1564.731795
76	1	306878.1673	59524.25123
76	2	40035.72199	7693.096987
76	3	21317.34981	4039.000353
76	4	9058.964295	1564.731795
77	1	306878.1673	59524.25123
77	2	40035.72199	7693.096987
77	3	21317.34981	4039.000353
77	4	9058.964295	1564.731795
78	1	306878.1673	59524.25123
78	2	40035.72199	7693.096987
78	3	21317.34981	4039.000353
78	4	9058.964295	1564.731795
79	1	306878.1673	59524.25123
79	2	40035.72199	7693.096987
79	3	21317.34981	4039.000353
79	4	9058.964295	1564.731795
80	1	306878.1673	59524.25123
80	2	40035.72199	7693.096987
80	3	21317.34981	4039.000353
80	4	9058.964295	1564.731795
81	1	306878.1673	59524.25123
81	2	40035.72199	7693.096987
81	3	21317.34981	4039.000353
81	4	9058.964295	1564.731795
82	1	306878.1673	59524.25123
82	2	40035.72199	7693.096987
82	3	21317.34981	4039.000353
82	4	9058.964295	1564.731795
83	1	306878.1673	59524.25123
83	2	40035.72199	7693.096987
83	3	21317.34981	4039.000353
83	4	9058.964295	1564.731795
84	1	306878.1673	59524.25123
84	2	40035.72199	7693.096987
84	3	21317.34981	4039.000353
84	4	9058.964295	1564.731795
85	1	306878.1673	59524.25123
85	2	40035.72199	7693.096987
85	3	21317.34981	4039.000353
85	4	9058.964295	1564.731795
86	1	306878.1673	59524.25123
