Year	Age	Australia	NewZealand
1	1	0.001718267	0.001790358
1	2	0.01080093	0.014128959
1	3	0.034126502	0.039764912
1	4	0.124566951	0.128619412
2	1	0.001663219	0.002003673
2	2	0.011344862	0.014768605
2	3	0.033789093	0.040834735
2	4	0.124907608	0.133283234
3	1	0.001636276	0.001727242
3	2	0.011215354	0.010715297
3	3	0.035042327	0.036088454
3	4	0.12309077	0.134432016
4	1	0.001668718	0.001743931
4	2	0.010541915	0.011807258
4	3	0.032053848	0.040522139
4	4	0.122182351	0.153976726
5	1	0.001719668	0.001855748
5	2	0.012044202	0.013932865
5	3	0.035090528	0.039111963
5	4	0.128995493	0.129284359
6	1	0.001730155	0.002194612
6	2	0.011552074	0.013662866
6	3	0.033885496	0.038247009
6	4	0.11877578	0.125573873
7	1	0.00175035	0.00179195
7	2	0.010826831	0.012890034
7	3	0.0340301	0.037673519
7	4	0.119797751	0.124253896
8	1	0.001685499	0.00172656
8	2	0.011034044	0.015490919
8	3	0.03629556	0.042116387
8	4	0.121501037	0.131709034
9	1	0.001695213	0.00143617
9	2	0.011733384	0.013084737
9	3	0.035717144	0.039210504
9	4	0.125929579	0.139159394
10	1	0.001689427	0.002064059
10	2	0.011603877	0.012750441
10	3	0.034367509	0.036609068
10	4	0.117867361	0.123056253
11	1	0.001656979	0.002083705
11	2	0.011034044	0.01326107
11	3	0.037596994	0.037714757
11	4	0.123999189	0.126942711
12	1	0.001633962	0.001856886
12	2	0.012018301	0.012940552
12	3	0.035427937	0.039433419
12	4	0.124112741	0.138636254
13	1	0.001697238	0.001791268
13	2	0.012795346	0.013247293
13	3	0.036054553	0.040882702
13	4	0.120933275	0.143304854
14	1	0.001706866	0.001563994
14	2	0.011862892	0.012466664
14	3	0.03745239	0.039610494
14	4	0.134446007	0.145803002
15	1	0.001741327	0.001758118
15	2	0.012199612	0.013873161
15	3	0.034945924	0.038895776
15	4	0.127859969	0.125510317
16	1	0.001769192	0.00201695
16	2	0.01113765	0.013649088
16	3	0.036873975	0.039292731
16	4	0.140577835	0.129558054
17	1	0.001749731	0.001807957
17	2	0.011785187	0.013449792
17	3	0.039043032	0.040214665
17	4	0.138306787	0.138078946
18	1	0.001704138	0.002259775
18	2	0.012536331	0.014239605
18	3	0.038464617	0.041750487
18	4	0.143075987	0.139481951
19	1	0.001796531	0.001855976
19	2	0.011914695	0.013609144
19	3	0.037934403	0.040453214
19	4	0.142508225	0.138000696
20	1	0.001697478	0.001694547
20	2	0.010878635	0.012810146
20	3	0.037982604	0.039398369
20	4	0.140918492	0.139369534
21	1	0.001711349	0.001805227
21	2	0.011914695	0.013305607
21	3	0.039235838	0.041327397
21	4	0.137739026	0.145837169
22	1	0.001851256	0.002148186
22	2	0.012821248	0.013593977
22	3	0.037355988	0.042660684
22	4	0.142394673	0.152876805
23	1	0.001738952	0.002034094
23	2	0.013002558	0.014280939
23	3	0.038657422	0.043339344
23	4	0.145574139	0.14840365
24	1	0.001809591	0.001874712
24	2	0.012096006	0.015572196
24	3	0.037982604	0.045195491
24	4	0.142508225	0.153116334
25	1	0.001651041	0.002067699
25	2	0.013235672	0.01293596
25	3	0.040681876	0.042410839
25	4	0.144779273	0.155443287
26	1	0.001807313	0.001985164
26	2	0.012847149	0.015173604
26	3	0.038850227	0.045126981
26	4	0.152727938	0.154597589
27	1	0.00183453	0.002034549
27	2	0.013650096	0.014926568
27	3	0.039525045	0.046846772
27	4	0.162152785	0.164604515
28	1	0.001901646	0.001853928
28	2	0.012018301	0.014412736
28	3	0.042561725	0.047940293
28	4	0.158973319	0.178859761
29	1	0.001789247	0.001823281
29	2	0.012950755	0.015928066
29	3	0.04121209	0.050777117
29	4	0.162947652	0.185229673
30	1	0.001806866	0.001853928
30	2	0.013261573	0.016266954
30	3	0.040971083	0.052411807
30	4	0.165900013	0.189262716
31	1	0.001846415	0.002210391
31	2	0.013183869	0.016497009
31	3	0.043622153	0.050047571
31	4	0.158859766	0.175051553
32	1	0.00181661	0.002035459
32	2	0.01302846	0.015129067
32	3	0.042561725	0.050858859
32	4	0.170555661	0.188959631
33	1	0.001891506	0.001775261
33	2	0.013391081	0.015530863
33	3	0.045212796	0.047501993
33	4	0.167489747	0.166545355
34	1	0.001840376	0.001921139
34	2	0.01251043	0.014046291
34	3	0.041453096	0.047442353
34	4	0.162039233	0.174019966
35	1	0.001937526	0.001774579
35	2	0.013442884	0.014239605
35	3	0.042272518	0.047150499
35	4	0.166354223	0.175799528
36	1	0.001758175	0.001966883
36	2	0.013339278	0.016135158
36	3	0.040392668	0.046834969
36	4	0.164423833	0.158674715
37	1	0.00184695	0.002211984
37	2	0.012406824	0.014971104
37	3	0.040248064	0.046972037
37	4	0.160108843	0.168026611
38	1	0.001764707	0.001920456
38	2	0.012355021	0.01469192
38	3	0.037789799	0.045846718
38	4	0.150797548	0.163709956
39	1	0.001766817	0.001775489
39	2	0.011733384	0.014408143
39	3	0.039476844	0.041548491
39	4	0.14466572	0.142473851
40	1	0.001714972	0.001822826
40	2	0.012821248	0.016767009
40	3	0.036970378	0.046040761
40	4	0.142962435	0.145710057
41	1	0.00182597	0.002179971
41	2	0.012329119	0.01308933
41	3	0.036343761	0.039695757
41	4	0.13410535	0.137888279
42	1	0.00178503	0.001855293
42	2	0.011914695	0.014394365
42	3	0.034753119	0.041414203
42	4	0.132402064	0.140244621
43	1	0.001658142	0.001644708
43	2	0.012251415	0.013960421
43	3	0.035813547	0.042827999
43	4	0.131039436	0.153942559
44	1	0.001731044	0.001855748
44	2	0.011344862	0.013210552
44	3	0.037741598	0.043430678
44	4	0.126724446	0.159393301
45	1	0.001651632	0.001662762
45	2	0.011267157	0.012192073
45	3	0.034078301	0.037484753
45	4	0.125361817	0.135448909
46	1	0.001734756	0.00208234
46	2	0.012147809	0.01493116
46	3	0.035090528	0.041923297
