Year	Age	Croatia	Lithuania	Slovakia	SouthKorea	Sweden
1	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
1	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
1	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
1	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
2	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
2	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
2	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
2	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
3	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
3	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
3	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
3	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
4	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
4	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
4	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
4	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
5	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
5	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
5	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
5	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
6	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
6	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
6	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
6	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
7	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
7	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
7	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
7	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
8	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
8	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
8	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
8	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
9	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
9	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
9	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
9	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
10	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
10	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
10	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
10	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
11	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
11	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
11	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
11	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
12	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
12	2	8152.544872	5323.515769	8888.88648	74752.16994	20962.78428
12	3	5765.784263	3958.761987	4553.509615	41297.61314	11234.3221
12	4	1466.121378	1259.726859	1407.781314	9891.892885	4946.079553
13	1	53685.5245	37165.70083	73501.94337	716489.1188	118646.9419
