Year	Age	Croatia	Lithuania	Slovakia	SouthKorea	Sweden
1	1	0.003706772	0.00527368	0.004163155	0.001864648	0.001677245
1	2	0.026862778	0.026861947	0.027675008	0.013899262	0.015122037
1	3	0.083076296	0.06517189	0.078401064	0.043586054	0.047621921
1	4	0.241453406	0.180991616	0.191791152	0.141833319	0.18357974
2	1	0.003744026	0.005919436	0.004299206	0.001843713	0.001685673
2	2	0.0271081	0.028740405	0.027450007	0.013752109	0.013786337
2	3	0.083249733	0.070981787	0.077742232	0.043610269	0.047710934
2	4	0.252366554	0.192105136	0.207418579	0.137284139	0.182164478
3	1	0.003930296	0.005838717	0.004367231	0.001926987	0.001769957
3	2	0.024041573	0.027989022	0.025537507	0.013035439	0.013881744
3	3	0.082555985	0.062393243	0.082793281	0.043964164	0.049046128
3	4	0.232586473	0.184166908	0.21310128	0.140547127	0.178929593
4	1	0.003762653	0.005596558	0.004340021	0.00193862	0.001677245
4	2	0.024654878	0.02986748	0.029587508	0.013778864	0.015455962
4	3	0.079954431	0.063656264	0.083012892	0.04329548	0.047443895
4	4	0.233950616	0.204806302	0.224466682	0.135262282	0.184388462
5	1	0.004358717	0.004681736	0.004367231	0.001902332	0.001812099
5	2	0.03164656	0.031933783	0.027675008	0.013685221	0.013261597
5	3	0.076312255	0.066434911	0.07730301	0.043029121	0.044239429
5	4	0.238043047	0.208775417	0.21310128	0.14395627	0.176099068
6	1	0.003799907	0.005596558	0.004394442	0.001923267	0.001660388
6	2	0.031278577	0.028364714	0.026550007	0.013230385	0.015551369
6	3	0.08567785	0.073255225	0.084769778	0.044651491	0.047354882
6	4	0.238043047	0.210363063	0.229439045	0.150931679	0.18944297
7	1	0.00396755	0.004977708	0.00412234	0.001966931	0.001904811
7	2	0.028948016	0.032873012	0.027787508	0.013808891	0.014978926
7	3	0.081515363	0.079822935	0.083452113	0.043384392	0.048957115
7	4	0.256458985	0.187342199	0.236542421	0.153033517	0.203797773
8	1	0.004079312	0.005757997	0.004135945	0.001880606	0.001719387
8	2	0.028089388	0.029116097	0.028575008	0.014358748	0.014788112
8	3	0.07717944	0.070476579	0.082134448	0.047379173	0.049046128
8	4	0.233268545	0.212744531	0.207418579	0.167466455	0.202180331
9	1	0.003948923	0.00581181	0.003741398	0.001979095	0.001997523
9	2	0.024777539	0.027049793	0.029137508	0.014153435	0.014597298
9	3	0.078566935	0.074518246	0.071153907	0.047944659	0.049491193
9	4	0.232586473	0.199249542	0.209549592	0.160333317	0.188634249
10	1	0.00415382	0.006080876	0.004163155	0.001913497	0.001710959
10	2	0.025268184	0.026861947	0.026100007	0.013671844	0.01435878
10	3	0.074577886	0.070223974	0.079718729	0.047993088	0.049669219
10	4	0.233950616	0.190517491	0.196763515	0.164579218	0.173875084
11	1	0.003893042	0.005677278	0.003945474	0.001916289	0.001727815
11	2	0.026985439	0.031745938	0.025312507	0.013725354	0.013786337
11	3	0.07717944	0.064666681	0.06939702	0.049324885	0.04121299
11	4	0.238725119	0.212744531	0.185398114	0.159423481	0.184590642
12	1	0.003129335	0.005435119	0.004013499	0.001824173	0.001862669
12	2	0.0249002	0.032121629	0.024187507	0.013350783	0.014883519
12	3	0.069548214	0.061888035	0.067859745	0.046273861	0.049313167
12	4	0.209396033	0.188929845	0.185398114	0.152751351	0.168820576
13	1	0.00359501	0.005677278	0.003741398	0.001888375	0.001913239
13	2	0.025145522	0.028364714	0.023625006	0.013792242	0.012832265
13	3	0.070415399	0.05860418	0.071373518	0.045087352	0.045218572
13	4	0.220309181	0.196868074	0.15698461	0.153256815	0.166596593
14	1	0.003352859	0.006000156	0.003169984	0.001884188	0.001609818
14	2	0.023182945	0.026674102	0.026887507	0.01391264	0.014120262
14	3	0.070762273	0.066434911	0.079279508	0.042254258	0.045485611
14	4	0.202575315	0.186548376	0.176163725	0.139002718	0.170235838
15	1	0.00322247	0.005865623	0.003727793	0.001923741	0.0017531
