Year	Age	Australia	Austria	Belgium	CzechRepublic	Hungary	Italy	Norway	Scotland	Slovenia	Spain	Switzerland	Taiwan
1	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
1	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
1	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
1	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
2	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
2	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
2	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
2	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
3	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
3	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
3	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
3	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
4	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
4	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
4	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
4	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
5	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
5	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
5	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
5	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
6	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
6	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
6	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
6	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
7	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
7	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
7	3	20746.33936	10304.0924	13773.17458	10548.33848	11040.38804	91996.64795	4762.104464	6188.485962	2533.13141	57606.35866	9243.955045	17970.49311
7	4	8806.509231	4170.372783	5668.023782	3563.729287	3517.783846	37548.21557	2218.025641	2233.71766	859.2280449	25270.80024	3895.649862	6242.794872
8	1	303233.5531	111752.9373	140575.173	134854.0017	127590.6236	744003.5448	65617.21018	67994.92086	26604.71322	592123.3839	107126.861	333790.179
8	2	38607.78663	16200.93479	19930.42606	22509.05743	19720.37465	125383.81	9285.799715	10493.15795	3811.798077	82510.1155	15317.96127	30926.36551
