Year	Age	Australia	Austria	Belgium	CzechRepublic	Hungary	Italy	Norway	Scotland	Slovenia	Spain	Switzerland	Taiwan
1	1	581.9817252	0.002111801	0.002688953	0.003136726	0.005614342	0.002137087	0.001889748	0.00419149	0.0026687	0.002078959	0.001586904	0.002804157
1	2	92.58462023	0.016665705	0.017761788	0.02363493	0.03165555	0.016461455	0.016261389	0.028304158	0.01783935	0.015767764	0.013121851	0.017557834
1	3	29.30273921	0.045612945	0.052348135	0.069300014	0.081542426	0.052143204	0.051237851	0.085481328	0.050135575	0.052667797	0.036997151	0.051528914
1	4	8.027811514	0.18847236	0.187190464	0.206805832	0.213241305	0.194443328	0.204686543	0.263238282	0.160609283	0.192118966	0.19816976	0.151054138
2	1	601.2439054	0.002210233	0.002568021	0.003233126	0.005073302	0.002193538	0.001767829	0.003309071	0.0026687	0.002028293	0.001614908	0.002909013
2	2	88.14563159	0.018764349	0.018815453	0.022790826	0.030691972	0.016086606	0.015615241	0.024110949	0.01862638	0.01636163	0.013644113	0.01726682
2	3	29.59534859	0.045418847	0.055470146	0.064844336	0.079097537	0.051175778	0.047668001	0.071746143	0.060004783	0.053362165	0.040567051	0.054756427
2	4	8.005917483	0.194467028	0.178721904	0.211576116	0.216091616	0.188451033	0.190710149	0.250255442	0.18388599	0.202842805	0.194062615	0.14320509
3	1	611.1439579	0.002084956	0.00262493	0.003121895	0.005400083	0.002146495	0.002026907	0.003500261	0.002518351	0.002038427	0.00152156	0.002834116
3	2	89.16347953	0.017344678	0.016156203	0.024745594	0.031997364	0.015472492	0.013138341	0.023920349	0.022299187	0.015876841	0.012730154	0.017784178
3	3	28.53691796	0.044157213	0.053146789	0.071480452	0.082334063	0.048697426	0.052287807	0.064636165	0.057636173	0.052181739	0.038836191	0.04919175
3	4	8.124086006	0.194946601	0.190013317	0.212698535	0.21746646	0.182831591	0.189808446	0.218469867	0.174575307	0.201893092	0.194062615	0.144967121
4	1	599.2624769	0.002272871	0.00270318	0.003299865	0.005117931	0.002057786	0.001828789	0.00311788	0.003044573	0.002144823	0.00171759	0.002687317
4	2	94.85942662	0.018208826	0.016908821	0.025234286	0.03169311	0.016110533	0.012169119	0.021061343	0.019151067	0.016349511	0.013905245	0.017493165
4	3	31.1975028	0.045807043	0.056050985	0.073566088	0.083873864	0.049980082	0.045568089	0.062212309	0.050925112	0.0547509	0.040891588	0.050137745
4	4	8.184488133	0.193028308	0.202186872	0.218871844	0.24134513	0.187465633	0.205588245	0.206382395	0.173411472	0.208818081	0.206897444	0.144006013
5	1	581.5077499	0.002371302	0.002617816	0.003396266	0.005470621	0.002192194	0.001874508	0.002911982	0.002931811	0.002063759	0.001493556	0.002804157
5	2	83.02749814	0.019381598	0.020270515	0.026078391	0.037524642	0.016046729	0.01389218	0.023634448	0.016527633	0.015985919	0.015341467	0.016717128
5	3	28.4977189	0.050756532	0.054889306	0.071006443	0.091029409	0.052512783	0.051447842	0.067544792	0.056451868	0.053587834	0.045543276	0.049303043
5	4	7.75220883	0.196864895	0.209596862	0.224483942	0.255274354	0.18951633	0.179438863	0.212649973	0.155953941	0.200231095	0.213828252	0.147049522
6	1	577.9830191	0.002299716	0.002745862	0.003507497	0.00515927	0.002033592	0.001676389	0.003014931	0.002819049	0.002070514	0.001885615	0.002840108
6	2	86.56454402	0.02055437	0.018765279	0.026256097	0.034495581	0.015911145	0.014861402	0.024015649	0.021249814	0.015731404	0.013513548	0.018624885
6	3	29.51115129	0.053182753	0.061278538	0.074988113	0.093772115	0.051382307	0.047038027	0.067544792	0.051714648	0.056955518	0.048031389	0.052697497
6	4	8.419224886	0.202140203	0.224946127	0.244126287	0.25361853	0.192525794	0.176282903	0.214888394	0.19901585	0.199914524	0.242064876	0.160344849
7	1	571.314419	0.002478682	0.002475544	0.003411096	0.005259007	0.001958324	0.001706869	0.002676671	0.002781462	0.002136379	0.001782933	0.002837112
