Year	Age	Bulgaria	Canada	Denmark	EnglandandWales	Finland	France	Germany	Greece	Netherlands	NewZealand	Poland	Portugal	USA
1	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
1	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
1	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
1	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
2	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
2	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
2	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
2	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
3	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
3	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
3	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
3	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
4	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
4	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
4	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
4	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
5	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
5	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
5	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
5	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
6	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
6	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
6	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
6	4	2445.790769	14127.04148	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	6725.995821	1513.617853	13177.72167	5682.272739	111865.7458
7	1	90897.86092	465657.7524	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	213041.9838	58171.60175	514011.8244	129844.8992	4077506.653
7	2	16206.56707	62726.82133	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	33744.82576	7464.409776	63166.88462	20848.76759	528062.13
7	3	9292.946535	32961.50975	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	18154.92325	3894.263013	38593.71474	14765.69281	265683.5486
