Year	Age	Bulgaria	Canada	Denmark	EnglandandWales	Finland	France	Germany	Greece	Netherlands	NewZealand	Poland	Portugal	USA
1	1	0.005544685	0.002274885	0.002686435	0.002584018	0.002573607	0.002670131	0.002698912	0.0027747	0.00198083	558.5475683	0.003809251	0.00287554	0.003518998
1	2	0.032209165	0.016736084	0.017704123	0.022024648	0.017983409	0.013662689	0.018358087	0.017985014	0.01612099	70.77662518	0.02243264	0.019010914	0.020285492
1	3	0.089960703	0.04687888	0.049968036	0.070241057	0.0456908	0.043736226	0.047777471	0.061184688	0.05106053	25.14779865	0.058506936	0.06736236	0.055697841
1	4	0.26167406	0.180858816	0.174427633	0.279909684	0.176352471	0.157866155	0.176425208	0.196953368	0.225245457	7.774876164	0.158601013	0.224665208	0.191408012
2	1	0.005500679	0.002196334	0.002359515	0.002387074	0.00248383	0.002518297	0.00260326	0.002461427	0.001957361	499.0833598	0.003927925	0.002896321	0.003484628
2	2	0.028815479	0.016750659	0.019351018	0.019441112	0.017403299	0.013501837	0.018302231	0.017748991	0.014728184	67.7112022	0.021593593	0.019622029	0.019982497
2	3	0.09232809	0.047154528	0.04864438	0.065345232	0.050532209	0.042112476	0.049357538	0.060226806	0.052327404	24.48895538	0.060320703	0.066255099	0.054933774
2	4	0.238368714	0.178027367	0.174427633	0.257098579	0.164974892	0.156029706	0.179588066	0.213299376	0.222866627	7.502819133	0.156172672	0.244888916	0.190192269
3	1	0.005313656	0.002180845	0.00241637	0.002381487	0.002214499	0.002606868	0.002613316	0.002722488	0.002131035	578.957555	0.003676958	0.003203822	0.003350904
3	2	0.032024055	0.016660378	0.016880675	0.018629143	0.014502749	0.01340834	0.018488419	0.01892911	0.016091356	93.32452542	0.021799397	0.018466319	0.019069726
3	3	0.083504193	0.046871259	0.04748618	0.061805894	0.039941626	0.040824041	0.048418884	0.060586012	0.046654012	27.70969323	0.057418676	0.068266353	0.053462098
3	4	0.225285011	0.16953302	0.176630002	0.233605415	0.170284429	0.152065281	0.177647221	0.204325097	0.221677212	7.438704169	0.155565587	0.223854091	0.180376932
4	1	0.005511681	0.002167287	0.002302659	0.002370313	0.002259387	0.002596584	0.002761344	0.002491263	0.001868176	573.4171076	0.003883179	0.002772539	0.00327653
4	2	0.029864437	0.015644168	0.018609915	0.017245106	0.015745842	0.014521485	0.019624162	0.016663281	0.014965257	84.69366955	0.02404741	0.018706142	0.019149262
4	3	0.082643325	0.043950992	0.051291693	0.057455782	0.044480447	0.043732624	0.051101869	0.05513806	0.04957333	24.67786808	0.058196005	0.063931982	0.051768354
4	4	0.231417997	0.155729705	0.168701473	0.21079431	0.16042386	0.160279333	0.194204306	0.18541501	0.223015304	6.494487999	0.163381809	0.212942964	0.174655788
5	1	0.005214644	0.002133143	0.002444798	0.002187336	0.002184573	0.002704561	0.002782151	0.002543475	0.002013688	538.8661708	0.003846215	0.002664718	0.003393957
5	2	0.029494217	0.016427231	0.019927431	0.016368549	0.014999987	0.014698576	0.019369706	0.016568872	0.015202331	71.77274562	0.022860079	0.017411101	0.019082982
5	3	0.083611801	0.046101408	0.049471665	0.053401914	0.044026565	0.044914236	0.051868436	0.05489859	0.049738574	25.56762498	0.063119086	0.060478029	0.051629091
5	4	0.225693877	0.152898256	0.177510949	0.196205813	0.166491902	0.173179608	0.196600411	0.168107472	0.209485709	7.734887739	0.17226043	0.221390288	0.171464463
6	1	0.004818595	0.002193165	0.002402156	0.002225049	0.002558644	0.00270199	0.002834322	0.002431592	0.001910422	455.6613589	0.004040763	0.002834151	0.003292326
6	2	0.033875157	0.015561489	0.018280536	0.016589995	0.016325952	0.015002161	0.020412356	0.015908005	0.016535868	73.19108513	0.025187248	0.017698888	0.019592392
6	3	0.085763971	0.043653256	0.051622607	0.052980935	0.03933645	0.046874932	0.054770441	0.051665739	0.048636945	26.14583537	0.068508565	0.064541503	0.051075801
6	4	0.219152025	0.153960049	0.174427633	0.187528499	0.17331845	0.186580098	0.218093473	0.163299823	0.213499984	7.963439979	0.190169444	0.225085993	0.166056194
7	1	0.005797716	0.002201082	0.002515868	0.002134259	0.002573607	0.002678852	0.002926468	0.002565851	0.002070015	558.0511766	0.004276166	0.00235022	0.003337797
7	2	0.034368784	0.015034694	0.018856949	0.015814934	0.016243079	0.014926265	0.021275025	0.016710486	0.015676477	77.57931639	0.026200437	0.017275474	0.018899291
7	3	0.089637877	0.042076999	0.05029895	0.051593265	0.042211037	0.045823168	0.056186243	0.053461767	0.051005448	26.54384373	0.066927996	0.059486015	0.051380675
7	4	0.248181491	0.1511286	0.182356161	0.182526729	0.16042386	0.180709156	0.229091594	0.175158691	0.219149705	8.048037381	0.190017673	0.19838974	0.166270737
8	1	0.0056657	0.002150215	0.002217375	0.002183146	0.002603532	0.002451695	0.002926848	0.002468886	0.001849401	579.1864196	0.004260602	0.002587703	0.003272887
8	2	0.032764496	0.015331829	0.01869226	0.016137876	0.016077334	0.01373927	0.021572925	0.017040919	0.015113428	64.55395066	0.025867985	0.018130568	0.019073513
8	3	0.097708514	0.043028463	0.059068175	0.052310488	0.047808916	0.043985833	0.058470301	0.058251175	0.048967434	23.7437269	0.069519092	0.060545754	0.050537566
8	4	0.24163964	0.149358944	0.188082321	0.179268	0.166491902	0.173336516	0.229043672	0.17900481	0.206958202	7.592493604	0.191687157	0.190592752	0.166020437
9	1	0.005357662	0.002200514	0.002501654	0.002117498	0.002618495	0.002415589	0.002855532	0.002670276	0.002037157	696.2963809	0.00417111	0.002464479	0.003395338
9	2	0.033011309	0.015512705	0.019515707	0.017069794	0.015994461	0.01373021	0.019897237	0.015813595	0.015113428	76.42491978	0.024997275	0.015780309	0.019247735
9	3	0.090929179	0.04344271	0.056420862	0.051125511	0.049321857	0.041256108	0.054778263	0.052982826	0.048967434	25.50337027	0.066435688	0.051267489	0.049592834
9	4	0.240821908	0.147235357	0.198213219	0.180328981	0.16611265	0.162500138	0.210186326	0.167466452	0.203835987	7.186004254	0.190397101	0.18161747	0.164903026
10	1	0.005126633	0.002108057	0.002942286	0.00209515	0.002513755	0.002488741	0.002648834	0.002416674	0.00198083	484.4823457	0.004071891	0.002218522	0.003356807
10	2	0.033998564	0.015263725	0.018939294	0.01591643	0.015165732	0.013113886	0.019351087	0.017040919	0.015735746	78.42865705	0.02653289	0.015737973	0.018795137
10	3	0.08727049	0.043006375	0.054435377	0.048677598	0.042664919	0.040177743	0.050687297	0.049450638	0.046874338	27.31563669	0.065036497	0.049051483	0.048813711
10	4	0.242457371	0.142634252	0.18103474	0.172295835	0.155493576	0.147657679	0.200601906	0.165222882	0.187927563	8.126364801	0.192142471	0.170097252	0.162695022
11	1	0.005357662	0.002069858	0.002387943	0.002173368	0.002334202	0.002452615	0.002770416	0.002357003	0.002187362	479.9143457	0.004056327	0.002433673	0.003310202
11	2	0.030666581	0.015128461	0.015727848	0.014956831	0.013839767	0.012607212	0.018606337	0.016899305	0.01576538	75.40869348	0.024759809	0.015204736	0.018819755
11	3	0.087162882	0.042505326	0.051953521	0.047227561	0.045236918	0.038681558	0.05028837	0.049271035	0.045166812	26.51482042	0.064570099	0.04889713	0.048226546
11	4	0.227329339	0.139448872	0.177951423	0.162860677	0.147908524	0.143640611	0.183206185	0.151761464	0.181683134	7.877569265	0.187209903	0.162610991	0.156464339
12	1	0.005335659	0.002116071	0.002387943	0.002049056	0.002214499	0.002608153	0.002573559	0.002304791	0.001905728	538.5360613	0.004040763	0.002302747	0.003204591
