Year	Age	Austria	Belgium	Bulgaria	CzechRepublic	Denmark	Finland	Germany	Greece	Hungary	Norway	Poland	Scotland	Slovenia	Switzerland	Taiwan
1	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
1	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
1	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
1	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
2	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
2	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
2	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
2	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
3	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
3	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
3	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
3	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
4	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
4	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
4	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
4	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
5	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
5	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
5	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
5	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
6	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
6	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
6	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
6	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
7	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
7	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
7	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
7	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
8	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
8	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
8	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
8	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
9	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
9	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
9	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
9	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
10	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
10	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
10	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
10	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
11	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
11	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
11	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
11	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
12	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
12	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
12	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
12	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
13	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
13	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
13	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
13	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
14	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
14	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
14	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
14	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
15	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
15	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
15	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
15	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
16	1	111752.9373	140575.173	90897.86092	134854.0017	70353.45245	66832.27611	1032778.967	134068.5573	127590.6236	65617.21018	514011.8244	67994.92086	26604.71322	107126.861	333790.179
16	2	16200.93479	19930.42606	16206.56707	22509.05743	12144.0641	12066.67746	161127.896	21184.30333	19720.37465	9285.799715	63166.88462	10493.15795	3811.798077	15317.96127	30926.36551
16	3	10304.0924	13773.17458	9292.946535	10548.33848	6043.863685	6609.645756	127842.6814	16703.52564	11040.38804	4762.104464	38593.71474	6188.485962	2533.13141	9243.955045	17970.49311
16	4	4170.372783	5668.023782	2445.790769	3563.729287	2270.28249	2636.764874	41734.39897	6240.055769	3517.783846	2218.025641	13177.72167	2233.71766	859.2280449	3895.649862	6242.794872
