Year	Age	Austria	Belgium	Bulgaria	CzechRepublic	Denmark	Finland	Germany	Greece	Hungary	Norway	Poland	Scotland	Slovenia	Switzerland	Taiwan
1	1	0.002111801	0.002688953	0.005544685	0.003136726	0.002686435	0.002573607	0.002698912	0.0027747	0.005614342	0.001889748	0.003809251	0.00419149	0.0026687	0.001586904	0.002804157
1	2	0.016665705	0.017761788	0.032209165	0.02363493	0.017704123	0.017983409	0.018358087	0.017985014	0.03165555	0.016261389	0.02243264	0.028304158	0.01783935	0.013121851	0.017557834
1	3	0.045612945	0.052348135	0.089960703	0.069300014	0.049968036	0.0456908	0.047777471	0.061184688	0.081542426	0.051237851	0.058506936	0.085481328	0.050135575	0.036997151	0.051528914
1	4	0.18847236	0.187190464	0.26167406	0.206805832	0.174427633	0.176352471	0.176425208	0.196953368	0.213241305	0.204686543	0.158601013	0.263238282	0.160609283	0.19816976	0.151054138
2	1	0.002210233	0.002568021	0.005500679	0.003233126	0.002359515	0.00248383	0.00260326	0.002461427	0.005073302	0.001767829	0.003927925	0.003309071	0.0026687	0.001614908	0.002909013
2	2	0.018764349	0.018815453	0.028815479	0.022790826	0.019351018	0.017403299	0.018302231	0.017748991	0.030691972	0.015615241	0.021593593	0.024110949	0.01862638	0.013644113	0.01726682
2	3	0.045418847	0.055470146	0.09232809	0.064844336	0.04864438	0.050532209	0.049357538	0.060226806	0.079097537	0.047668001	0.060320703	0.071746143	0.060004783	0.040567051	0.054756427
2	4	0.194467028	0.178721904	0.238368714	0.211576116	0.174427633	0.164974892	0.179588066	0.213299376	0.216091616	0.190710149	0.156172672	0.250255442	0.18388599	0.194062615	0.14320509
3	1	0.002084956	0.00262493	0.005313656	0.003121895	0.00241637	0.002214499	0.002613316	0.002722488	0.005400083	0.002026907	0.003676958	0.003500261	0.002518351	0.00152156	0.002834116
3	2	0.017344678	0.016156203	0.032024055	0.024745594	0.016880675	0.014502749	0.018488419	0.01892911	0.031997364	0.013138341	0.021799397	0.023920349	0.022299187	0.012730154	0.017784178
3	3	0.044157213	0.053146789	0.083504193	0.071480452	0.04748618	0.039941626	0.048418884	0.060586012	0.082334063	0.052287807	0.057418676	0.064636165	0.057636173	0.038836191	0.04919175
3	4	0.194946601	0.190013317	0.225285011	0.212698535	0.176630002	0.170284429	0.177647221	0.204325097	0.21746646	0.189808446	0.155565587	0.218469867	0.174575307	0.194062615	0.144967121
4	1	0.002272871	0.00270318	0.005511681	0.003299865	0.002302659	0.002259387	0.002761344	0.002491263	0.005117931	0.001828789	0.003883179	0.00311788	0.003044573	0.00171759	0.002687317
4	2	0.018208826	0.016908821	0.029864437	0.025234286	0.018609915	0.015745842	0.019624162	0.016663281	0.03169311	0.012169119	0.02404741	0.021061343	0.019151067	0.013905245	0.017493165
4	3	0.045807043	0.056050985	0.082643325	0.073566088	0.051291693	0.044480447	0.051101869	0.05513806	0.083873864	0.045568089	0.058196005	0.062212309	0.050925112	0.040891588	0.050137745
4	4	0.193028308	0.202186872	0.231417997	0.218871844	0.168701473	0.16042386	0.194204306	0.18541501	0.24134513	0.205588245	0.163381809	0.206382395	0.173411472	0.206897444	0.144006013
5	1	0.002371302	0.002617816	0.005214644	0.003396266	0.002444798	0.002184573	0.002782151	0.002543475	0.005470621	0.001874508	0.003846215	0.002911982	0.002931811	0.001493556	0.002804157
5	2	0.019381598	0.020270515	0.029494217	0.026078391	0.019927431	0.014999987	0.019369706	0.016568872	0.037524642	0.01389218	0.022860079	0.023634448	0.016527633	0.015341467	0.016717128
5	3	0.050756532	0.054889306	0.083611801	0.071006443	0.049471665	0.044026565	0.051868436	0.05489859	0.091029409	0.051447842	0.063119086	0.067544792	0.056451868	0.045543276	0.049303043
