Year	Age	Australia	Canada	EnglandandWales	France	Italy	Netherlands	NewZealand	Portugal	Spain	USA
1	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
1	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
1	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
1	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
2	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
2	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
2	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
2	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
3	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
3	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
3	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
3	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
4	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
4	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
4	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
4	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
5	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
5	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
5	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
5	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
6	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
6	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
6	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
6	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
7	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
7	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
7	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
7	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
8	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
8	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
8	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
8	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
9	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
9	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
9	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
9	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
10	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
10	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
10	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
10	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
11	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
11	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
11	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
11	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
12	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
12	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
12	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
12	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
13	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
13	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
13	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
13	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
14	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
14	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
14	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
14	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
15	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
15	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
15	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
15	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
16	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
16	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
16	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
16	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
17	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
17	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
17	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
17	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
18	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
18	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
18	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
18	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
19	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
19	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
19	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
19	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
20	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
20	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
20	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
20	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
21	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
21	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
21	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
21	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
22	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
22	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
22	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
22	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
23	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
23	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
23	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
23	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
24	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
24	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
24	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
24	4	8806.509231	14127.04148	26390.65538	37983.68686	37548.21557	6725.995821	1513.617853	5682.272739	25270.80024	111865.7458
25	1	303233.5531	465657.7524	715939.3399	777945.1765	744003.5448	213041.9838	58171.60175	129844.8992	592123.3839	4077506.653
25	2	38607.78663	62726.82133	108378.5755	118582.9157	125383.81	33744.82576	7464.409776	20848.76759	82510.1155	528062.13
25	3	20746.33936	32961.50975	64136.27833	77013.44438	91996.64795	18154.92325	3894.263013	14765.69281	57606.35866	265683.5486
