Year	Age	Australia	Canada	EnglandandWales	France	Italy	Netherlands	NewZealand	Portugal	Spain	USA
1	1	581.9817252	0.002274885	0.002584018	0.002670131	0.002137087	0.00198083	558.5475683	0.00287554	0.002078959	0.003518998
1	2	92.58462023	0.016736084	0.022024648	0.013662689	0.016461455	0.01612099	70.77662518	0.019010914	0.015767764	0.020285492
1	3	29.30273921	0.04687888	0.070241057	0.043736226	0.052143204	0.05106053	25.14779865	0.06736236	0.052667797	0.055697841
1	4	8.027811514	0.180858816	0.279909684	0.157866155	0.194443328	0.225245457	7.774876164	0.224665208	0.192118966	0.191408012
2	1	601.2439054	0.002196334	0.002387074	0.002518297	0.002193538	0.001957361	499.0833598	0.002896321	0.002028293	0.003484628
2	2	88.14563159	0.016750659	0.019441112	0.013501837	0.016086606	0.014728184	67.7112022	0.019622029	0.01636163	0.019982497
2	3	29.59534859	0.047154528	0.065345232	0.042112476	0.051175778	0.052327404	24.48895538	0.066255099	0.053362165	0.054933774
2	4	8.005917483	0.178027367	0.257098579	0.156029706	0.188451033	0.222866627	7.502819133	0.244888916	0.202842805	0.190192269
3	1	611.1439579	0.002180845	0.002381487	0.002606868	0.002146495	0.002131035	578.957555	0.003203822	0.002038427	0.003350904
3	2	89.16347953	0.016660378	0.018629143	0.01340834	0.015472492	0.016091356	93.32452542	0.018466319	0.015876841	0.019069726
3	3	28.53691796	0.046871259	0.061805894	0.040824041	0.048697426	0.046654012	27.70969323	0.068266353	0.052181739	0.053462098
3	4	8.124086006	0.16953302	0.233605415	0.152065281	0.182831591	0.221677212	7.438704169	0.223854091	0.201893092	0.180376932
4	1	599.2624769	0.002167287	0.002370313	0.002596584	0.002057786	0.001868176	573.4171076	0.002772539	0.002144823	0.00327653
4	2	94.85942662	0.015644168	0.017245106	0.014521485	0.016110533	0.014965257	84.69366955	0.018706142	0.016349511	0.019149262
4	3	31.1975028	0.043950992	0.057455782	0.043732624	0.049980082	0.04957333	24.67786808	0.063931982	0.0547509	0.051768354
4	4	8.184488133	0.155729705	0.21079431	0.160279333	0.187465633	0.223015304	6.494487999	0.212942964	0.208818081	0.174655788
5	1	581.5077499	0.002133143	0.002187336	0.002704561	0.002192194	0.002013688	538.8661708	0.002664718	0.002063759	0.003393957
5	2	83.02749814	0.016427231	0.016368549	0.014698576	0.016046729	0.015202331	71.77274562	0.017411101	0.015985919	0.019082982
5	3	28.4977189	0.046101408	0.053401914	0.044914236	0.052512783	0.049738574	25.56762498	0.060478029	0.053587834	0.051629091
5	4	7.75220883	0.152898256	0.196205813	0.173179608	0.18951633	0.209485709	7.734887739	0.221390288	0.200231095	0.171464463
6	1	577.9830191	0.002193165	0.002225049	0.00270199	0.002033592	0.001910422	455.6613589	0.002834151	0.002070514	0.003292326
6	2	86.56454402	0.015561489	0.016589995	0.015002161	0.015911145	0.016535868	73.19108513	0.017698888	0.015731404	0.019592392
6	3	29.51115129	0.043653256	0.052980935	0.046874932	0.051382307	0.048636945	26.14583537	0.064541503	0.056955518	0.051075801
6	4	8.419224886	0.153960049	0.187528499	0.186580098	0.192525794	0.213499984	7.963439979	0.225085993	0.199914524	0.166056194
7	1	571.314419	0.002201082	0.002134259	0.002678852	0.001958324	0.002070015	558.0511766	0.00235022	0.002136379	0.003337797
7	2	92.36312592	0.015034694	0.015814934	0.014926265	0.015655929	0.015676477	77.57931639	0.017275474	0.015416292	0.018899291
7	3	29.3857498	0.042076999	0.051593265	0.045823168	0.049686593	0.051005448	26.54384373	0.059486015	0.052424768	0.051380675
7	4	8.347402114	0.1511286	0.182526729	0.180709156	0.189596227	0.219149705	8.048037381	0.19838974	0.198569098	0.166270737
8	1	593.2960333	0.002150215	0.002183146	0.002451695	0.001990582	0.001849401	579.1864196	0.002587703	0.001986073	0.003272887
8	2	90.62860712	0.015331829	0.016137876	0.01373927	0.015592125	0.015113428	64.55395066	0.018130568	0.015149658	0.019073513
8	3	27.55157949	0.043028463	0.052310488	0.043985833	0.047990879	0.048967434	23.7437269	0.060545754	0.050567334	0.050537566
8	4	8.230382459	0.149358944	0.179268	0.173336516	0.176972458	0.206958202	7.592493604	0.190592752	0.187686973	0.166020437
9	1	589.8964053	0.002200514	0.002117498	0.002415589	0.001923378	0.002037157	696.2963809	0.002464479	0.001925274	0.003395338
9	2	85.22690206	0.015512705	0.017069794	0.01373021	0.01465899	0.015113428	76.42491978	0.015780309	0.013986164	0.019247735
9	3	27.99775892	0.04344271	0.051125511	0.041256108	0.047153892	0.048967434	25.50337027	0.051267489	0.047355883	0.049592834
9	4	7.940946105	0.147235357	0.180328981	0.162500138	0.174868496	0.203835987	7.186004254	0.18161747	0.174390995	0.164903026
10	1	591.9166361	0.002108057	0.00209515	0.002488741	0.001932786	0.00198083	484.4823457	0.002218522	0.001862787	0.003356807
10	2	86.17809517	0.015263725	0.01591643	0.013113886	0.015193349	0.015735746	78.42865705	0.015737973	0.01414372	0.018795137
10	3	29.09725015	0.043006375	0.048677598	0.040177743	0.045469048	0.046874338	27.31563669	0.049051483	0.044474257	0.048813711
10	4	8.484112939	0.142634252	0.172295835	0.147657679	0.167411418	0.187927563	8.126364801	0.170097252	0.156979596	0.162695022
11	1	603.507895	0.002069858	0.002173368	0.002452615	0.001872303	0.002187362	479.9143457	0.002433673	0.00178679	0.003310202
11	2	90.62860712	0.015128461	0.014956831	0.012607212	0.014459602	0.01576538	75.40869348	0.015204736	0.013319579	0.018819755
11	3	26.59787097	0.042505326	0.047227561	0.038681558	0.044240742	0.045166812	26.51482042	0.04889713	0.042929289	0.048226546
11	4	8.064568893	0.139448872	0.162860677	0.143640611	0.163443186	0.181683134	7.877569265	0.162610991	0.148036468	0.156464339
12	1	612.0094972	0.002116071	0.002049056	0.002608153	0.001768809	0.001905728	538.5360613	0.002302747	0.00187292	0.003204591
12	2	83.20643671	0.014797432	0.015224411	0.012674676	0.014028924	0.014994891	77.27645331	0.012902441	0.013549854	0.018151273
12	3	28.22631205	0.041466673	0.047087235	0.037798595	0.044327702	0.048692026	25.35920107	0.045646351	0.043467424	0.048049644
12	4	8.057190513	0.136971354	0.162519647	0.135874119	0.157930275	0.189414331	7.213120473	0.147300216	0.143644046	0.154461939
13	1	589.1926443	0.002187971	0.001662152	0.002392773	0.001827948	0.001807156	558.2638078	0.002348956	0.001874609	0.003241405
13	2	78.15341424	0.014744532	0.012963817	0.012677684	0.013430761	0.014935623	75.48712237	0.014149517	0.012762072	0.018359582
13	3	27.73574781	0.041415651	0.041193535	0.036741012	0.043371145	0.044450752	24.46022287	0.047474914	0.041453757	0.047055981
13	4	8.269022752	0.134847767	0.142474673	0.127781892	0.153402763	0.167856185	6.978130688	0.153283737	0.147561611	0.152727717
14	1	585.8690221	0.002136755	0.00196106	0.002480895	0.001858862	0.001957361	639.3888379	0.002202628	0.001768213	0.003255247
14	2	84.29647737	0.014040661	0.014772292	0.012607212	0.013462663	0.015113428	80.21391828	0.013382086	0.012507557	0.018554635
14	3	26.70056546	0.039417914	0.045418912	0.035967746	0.04216458	0.044285508	25.24583511	0.038806171	0.04074203	0.046246748
14	4	7.437930094	0.130246662	0.155206452	0.130661355	0.155213767	0.169937661	6.85856935	0.138148948	0.1370752	0.150457138
15	1	574.2746585	0.002100042	0.002322822	0.002386072	0.001887088	0.001957361	568.7901796	0.002372061	0.001822255	0.003239162
15	2	81.969823	0.01457886	0.017060567	0.012532813	0.0136461	0.014965257	72.08162435	0.014437304	0.012713593	0.018208085
